Province,Fertilizer Type,Toal Sales
KOSHI,Urea,"26,842"
KOSHI,DAP,"12,784"
KOSHI,Potash,"1,053"
MADHESH PROVINCE,Urea,"47,372"
MADHESH PROVINCE,DAP,"29,066"
MADHESH PROVINCE,Potash,"1,724"
BAGMATI,Urea,"20,535"
BAGMATI,DAP,"9,867"
BAGMATI,Potash,"1,119"
GANDAKI,Urea,"4,656"
GANDAKI,DAP,"2,577"
GANDAKI,Potash,403
LUMBINI,Urea,"32,026"
LUMBINI,DAP,"17,542"
LUMBINI,Potash,"1,530"
KARNALI,Urea,"1,914"
KARNALI,DAP,"1,021"
KARNALI,Potash,134
SUDURPASHCHIM,Urea,"10,137"
SUDURPASHCHIM,DAP,"4,864"
SUDURPASHCHIM,Potash,670
